# cases.tsv - the verdict table for harness/shared/guards/never-automatic.sh.
#
# Four tab-separated columns:
#   expect    deny | allow
#   rule      the guard_rule id from permissions.yml, or - when expect is allow
#   command   the command string handed to the guard, verbatim
#   why       what this row is here to prove
#
# harness/scripts/deny-proof.sh runs every row and fails the build on any
# disagreement. It also fails if any never-automatic entry in permissions.yml has a
# guard_rule that no row exercises, which is what stops the table drifting behind
# the policy.
#
# The allow rows matter as much as the deny rows. A guard that refuses everything
# passes a deny test and makes the harness unusable, so half of this table exists to
# prove the tiers above never-automatic still reach their own rules.
#
# Rows are data, not shell. Nothing here is executed - the guard is a text
# classifier and deny-proof.sh only ever passes these strings to it as an argument.
expect	rule	command	why
deny	force-push	git push --force origin main	The plain spelling. If this passes, nothing below matters.
deny	force-push	git -C . push origin main --force	A global option before the subcommand. A harness rule anchored on the first two words misses this one.
deny	force-push	git -c push.default=current push origin main -f	Inline config, and the short flag last, so trailing-flag matching has to work too.
deny	force-push	git 'push' origin main --force-with-lease	Quoted subcommand. --force-with-lease is safer than --force and still rewrites what a colleague holds.
deny	force-push	/usr/bin/git push --Force	Absolute path and mixed case. Normalisation, not luck.
deny	force-push	git push origin +main:main	The refspec form, which carries no force flag at all and is a force-push.
deny	force-push	echo "always use git push --force" >> docs/notes.md	A known over-match, kept deliberately. Writing about a force-push is refused because the guard reads text, not intent. One prompt is the whole cost.
deny	merge-or-release	gh pr merge 12 --squash --delete-branch	Merging is a human act.
deny	merge-or-release	gh pr ready 12	Requesting review spends other people's attention under your name.
deny	merge-or-release	gh release create v1.0.0 --generate-notes	Publishing under the project's name.
deny	merge-or-release	gh api -X PUT repos/o/r/pulls/12/merge	The same action through the API. The transport does not change the tier.
deny	deploy	databricks bundle deploy -t prod	The target is in the command and it is still not automatic.
deny	deploy	databricks apps deploy rails-reference-app	A change users can see.
deny	deploy	tofu apply -auto-approve	-auto-approve is the exact flag that removes the human this tier exists to keep.
deny	credential-access	cat ~/.databrickscfg	The human's workspace credential. Reading it hands this session their full authority.
deny	credential-access	databricks auth token -p labs	Prints a live token into the transcript and every log that captured it.
deny	credential-access	cat ~/.ssh/id_ed25519	A private key.
deny	credential-access	security find-generic-password -s databricks-cli	Keychain access. A changed HOME does not isolate the keychain.
deny	credential-access	python3 -c "print(open('/Users/x/.claude/settings.json').read())"	Reading harness config through a language runtime rather than cat. Same file, different program, same verdict.
deny	message-a-person	gh pr comment 12 --body "looks good to me"	Arrives as a notification with a human's name on it.
deny	message-a-person	gh issue create --title "flaky e2e test"	Puts an item on someone's queue.
deny	destructive-path	rm -rf /tmp/scratch-dir	Rooted outside the repository. Harmless here, refused anyway: the guard cannot tell this path from one that matters.
deny	destructive-path	git clean -xdf	Deletes ignored files, which is exactly where .env files and unpushed scratch work live.
deny	destructive-path	git reset --hard origin/main	Throws away local commits that exist in no other copy.
deny	destructive-path	find / -name "*.tmp" -delete	A recursive delete rooted at /.
allow	-	git status --short	The most common command in the session must not cost a prompt.
allow	-	git commit -m "feat: add the never-automatic guard"	Committing locally is auto-allow. Nothing has left the machine.
allow	-	git push origin feature/harness-guards	The load-bearing allow row. A normal push must reach the ask tier and prompt, not be refused here.
allow	-	gh pr create --draft --fill	Draft pull requests are the ask tier: no reviewer is notified yet.
allow	-	git log --oneline -n 5	Reading history.
allow	-	git clean -fd	Without -x this leaves ignored files alone, so it is ordinary tidying.
allow	-	pytest -q tests/e2e	Tests are the point of the harness.
allow	-	make check	The repository's own gate.
allow	-	uv run python scripts/tool-budget.py --json --profile labs	A long argv with flags, to show the guard is not startled by shape.
allow	-	npm run build	Contains "run" and is not a bundle run.
allow	-	rm -rf ./node_modules	Deleting inside the working tree. The harness's working-directory scope confines the path; this guard does not try to.
allow	-	databricks bundle validate -t dev	Validating is reading. Only deploy, destroy and run are refused.
allow	-	databricks apps list	Listing apps is a read.
allow	-	curl -sfSL https://docs.databricks.com/aws/en/ai-gateway/budgets	Fetching platform documentation over an allowlisted host.
allow	-	gh pr view 12 --json state,mergeable	Reading a pull request is not acting on it.
deny	message-a-person	mcp__slack__slack_write_api_call	An MCP tool name, not a shell command. A write against a messaging service is a message however the tool is named.
deny	message-a-person	mcp__confluence__reply_to_confluence_comment	The verb is in the tool name. Replying to a comment notifies whoever wrote it.
allow	-	mcp__databricks__get_current_user	A read-only MCP tool from the project's own allowlist.
allow	-	mcp__databricks__execute_sql	A workspace write, which belongs to the ask tier and must prompt rather than be refused here.
allow	-	mcp__slack__slack_read_api_call	Reading a channel is a read. Only writes to a messaging service are refused.
allow	-	mcp__databricks__manage_app	Named in the ask tier. The guard must leave it to the permission rules.
